probabilidad,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,duracion,pps_flujo
0.976525,1841,1019914,0,0,0.526354,3497.645576
0.976525,1851,1025454,0,0,0.526795,3513.699783
0.976525,1861,1030994,0,0,0.528743,3519.671329
0.976525,1871,1036534,0,0,0.529916,3530.749538
0.976525,1881,1042074,0,0,0.530422,3546.233185
0.976525,1891,1047614,0,0,0.530871,3562.071209
0.976525,1901,1053154,0,0,0.531512,3576.587299
0.976525,1911,1058694,0,0,0.53241,3589.341282
0.976525,1921,1064234,0,0,0.533253,3602.419532
0.976525,1931,1069774,0,0,0.533448,3619.843627
0.976525,1941,1075314,0,0,0.533961,3635.099799
0.976525,1951,1080854,0,0,0.534914,3647.315155
0.976525,1961,1086394,0,0,0.535061,3665.005119
0.976525,1971,1091934,0,0,0.538679,3658.948424
0.976525,1981,1097474,0,0,0.539926,3669.020956
0.976525,1991,1103014,0,0,0.540619,3682.817769
0.976525,2001,1108554,0,0,0.541795,3693.281969
0.976525,2011,1114094,0,0,0.549841,3657.419862
0.976525,2021,1119634,0,0,0.645234,3132.198792
0.976525,2031,1125174,0,0,0.645244,3147.645879
0.976525,2041,1130714,0,0,0.645254,3163.09597
0.976525,2051,1136254,0,0,0.645729,3176.254735
0.976525,2061,1141794,0,0,0.653624,3153.187561
0.976525,2071,1147334,0,0,0.654088,3166.242838
0.976525,2081,1152874,0,0,0.654097,3181.483765
0.976525,2091,1158414,0,0,0.656768,3183.772251
0.976525,2101,1163954,0,0,0.657531,3195.287657
0.976525,2111,1169494,0,0,0.658414,3206.189969
0.976525,2121,1175034,0,0,0.659724,3214.983148
0.976525,2131,1180574,0,0,0.660023,3228.674325
0.976525,2141,1186114,0,0,0.666719,3211.246962
0.976525,2151,1191654,0,0,0.667304,3223.417072
0.976525,2161,1197194,0,0,0.667313,3238.35993
0.976525,2171,1202734,0,0,0.667888,3250.546522
0.976525,2181,1208274,0,0,0.667897,3265.471306
0.976525,2191,1213814,0,0,0.668497,3277.502369
0.976525,2201,1219354,0,0,0.671433,3278.064786
0.976525,2211,1224894,0,0,0.672505,3287.708378
0.976525,2221,1230434,0,0,0.674098,3294.775422
0.976525,2231,1235974,0,0,0.674496,3307.652879
0.976525,2241,1241514,0,0,0.67854,3302.678163
0.976525,2251,1247054,0,0,0.67938,3313.314211
0.976525,2261,1252594,0,0,0.680217,3323.939137
0.976525,2271,1258134,0,0,0.681397,3332.859008
0.976525,2281,1263674,0,0,0.681862,3345.25228
0.976525,2291,1269214,0,0,0.682698,3355.801777
0.976525,2301,1274754,0,0,0.771647,2981.934461
0.976525,2311,1280294,0,0,0.771657,2994.85582
0.976525,2321,1285834,0,0,0.772097,3006.1004
0.976525,2331,1291374,0,0,0.781373,2983.212052
0.976525,2341,1296914,0,0,0.782291,2992.49281
0.976525,2351,1302454,0,0,0.782753,3003.499949
0.976525,2361,1307994,0,0,0.782762,3016.241371
0.976525,2371,1313534,0,0,0.783617,3025.71182
0.976525,2381,1319074,0,0,0.783855,3037.552661
0.976525,2391,1324614,0,0,0.788484,3032.40013
0.976525,2401,1330154,0,0,0.789007,3043.066642
0.976525,2411,1335694,0,0,0.789135,3055.24596
0.976525,2421,1341234,0,0,0.789787,3065.382316
0.976525,2431,1346774,0,0,0.789797,3078.005857
0.976525,2441,1352314,0,0,0.789806,3090.632817
0.976525,2451,1357854,0,0,0.790335,3101.215873
0.976525,2461,1363394,0,0,0.792464,3105.501908
0.976525,2471,1368934,0,0,0.793365,3114.581554
0.976525,2481,1374474,0,0,0.795785,3117.677386
0.976525,2491,1380014,0,0,0.795813,3130.133877
0.976525,2501,1385554,0,0,0.796267,3140.905185
0.976525,2511,1391094,0,0,0.796276,3153.428847
0.976525,2521,1396634,0,0,0.796738,3164.153136
0.976525,2531,1402174,0,0,0.796873,3176.164465
0.976525,2541,1407714,0,0,0.801524,3170.211993
0.976525,2552,1413808,0,0,0.801955,3182.222556
0.976525,2562,1419348,0,0,0.801964,3194.655989
0.976525,2572,1424888,0,0,0.802389,3205.429117
0.976525,2582,1430428,0,0,0.803741,3212.479644
0.976525,2592,1435968,0,0,0.804348,3222.484867
