probabilidad,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,duracion,pps_flujo
0.730328,2108,1167832,0,0,0.731754,2880.749287
0.730328,2118,1173372,0,0,0.733646,2886.951258
0.730328,2128,1178912,0,0,0.734869,2895.753257
0.730328,2138,1184452,0,0,0.735356,2907.43683
0.730328,2148,1189992,0,0,0.736021,2918.394825
0.730328,2158,1195532,0,0,0.736818,2928.808853
0.730328,2168,1201072,0,0,0.737345,2940.277151
0.730328,2178,1206612,0,0,0.738509,2949.185694
0.730328,2188,1212152,0,0,0.738674,2962.065711
0.730328,2198,1217692,0,0,0.739623,2971.783994
0.730328,2208,1223232,0,0,0.744554,2965.535458
0.730328,2218,1228772,0,0,0.74457,2978.90146
0.730328,2228,1234312,0,0,0.745221,2989.718504
0.730328,2238,1239852,0,0,0.746688,2997.234324
0.730328,2248,1245392,0,0,0.747164,3008.709265
0.730328,2258,1250932,0,0,0.748333,3017.371451
0.730328,2268,1256472,0,0,0.748788,3028.896144
0.730328,2278,1262012,0,0,0.749945,3037.55639
0.730328,2294,1270876,0,0,0.778846,2945.3823
0.730328,2304,1276416,0,0,0.778859,2958.171999
0.730328,2314,1281956,0,0,0.778873,2970.960358
0.730328,2324,1287496,0,0,0.779511,2981.357268
0.730328,2343,1298022,0,0,0.785049,2984.52632
0.730328,2353,1303562,0,0,0.785063,2997.212491
0.730328,2363,1309102,0,0,0.785076,3009.900051
0.730328,2373,1314642,0,0,0.786613,3016.733103
0.730328,2383,1320182,0,0,0.787669,3025.383622
0.730328,2393,1325722,0,0,0.888148,2694.371271
0.730328,2404,1331816,0,0,0.888162,2706.713
0.730328,2414,1337356,0,0,0.888175,2717.932807
0.730328,2424,1342896,0,0,0.889133,2726.250644
0.730328,2434,1348436,0,0,0.889803,2735.437885
0.730328,2444,1353976,0,0,0.890819,2743.54325
0.730328,2454,1359516,0,0,0.891142,2753.768744
0.730328,2464,1365056,0,0,0.891802,2762.944913
0.730328,2474,1370596,0,0,0.892531,2771.893512
0.730328,2484,1376136,0,0,0.893088,2781.361275
0.730328,2494,1381676,0,0,0.89444,2788.336294
0.730328,2504,1387216,0,0,0.898354,2787.319755
0.730328,2514,1392756,0,0,0.898373,2798.392552
0.730328,2524,1398296,0,0,0.898993,2807.587262
0.730328,2534,1403836,0,0,0.899005,2818.671206
0.730328,2544,1409376,0,0,0.899648,2827.771295
0.730328,2554,1414916,0,0,0.901846,2831.968559
0.730328,2564,1420456,0,0,0.902456,2841.134852
0.730328,2574,1425996,0,0,0.905996,2841.07263
0.730328,2584,1431536,0,0,0.906418,2850.781601
0.730328,2594,1437076,0,0,0.907539,2858.280463
0.730328,2604,1442616,0,0,0.907769,2868.569794
0.730328,2614,1448156,0,0,0.908423,2877.515033
0.730328,2624,1453696,0,0,0.909229,2885.960738
0.730328,2630,1457020,0,0,0.951166,2765.027594
0.730328,2640,1462560,0,0,0.951784,2773.739579
0.730328,2650,1468100,0,0,0.951796,2784.209901
0.730328,2660,1473640,0,0,0.952399,2792.948427
0.730328,2670,1479180,0,0,0.95241,2803.413143
0.730328,2680,1484720,0,0,0.952423,2813.876189
0.730328,2690,1490260,0,0,0.954448,2818.383027
0.730328,2700,1495800,0,0,0.955107,2826.907065
0.717846,2710,1501340,0,0,1.06153,2552.918054
0.717846,2720,1506880,0,0,1.062188,2560.751024
0.717846,2730,1512420,0,0,1.06241,2569.629723
0.717846,2740,1517960,0,0,1.063444,2576.533443
0.717846,2750,1523500,0,0,1.063737,2585.22453
0.717846,2760,1529040,0,0,1.064606,2592.508521
0.717846,2770,1534580,0,0,1.065361,2600.058741
0.717846,2780,1540120,0,0,1.065941,2608.025205
0.717846,2790,1545660,0,0,1.068079,2612.167508
0.717846,2800,1551200,0,0,1.068731,2619.928862
0.717846,2810,1556740,0,0,1.069682,2626.94806
0.717846,2820,1562280,0,0,1.070345,2634.665296
0.717846,2830,1567820,0,0,1.073897,2635.261153
0.717846,2840,1573360,0,0,1.074536,2643.001635
0.717846,2850,1578900,0,0,1.074549,2652.275612
0.717846,2860,1584440,0,0,1.074562,2661.549363
0.717846,2870,1589980,0,0,1.075196,2669.281287
0.717846,2880,1595520,0,0,1.075408,2678.053992
0.717846,2890,1601060,0,0,1.076733,2684.044288
